Data,Ora,Sport,Nome,Durata (h:mm),Durata (s),Distanza (km),FC media,FC max,Dislivello (m),Calorie,Carico allenamento,Sensazione (1-5),Dispositivo
2026-01-03,08:21,Walk,Napoli Camminata,1:16,4566,7.57,107,139,260,577,13,,Garmin Venu Sq 2
2026-01-05,08:30,Workout,Cardio,0:39,2374,,100,132,,289,17,,Garmin Venu Sq 2
2026-01-06,08:36,Walk,Napoli Camminata,1:12,4325,7.36,113,132,276,598,53,,Garmin Venu Sq 2
2026-01-07,08:48,Walk,Napoli Camminata,1:09,4182,7.03,113,142,249,555,51,,Garmin Venu Sq 2
2026-01-08,08:32,Walk,Napoli Camminata,1:12,4374,7.38,103,147,285,518,31,,Garmin Venu Sq 2
2026-01-09,08:42,Walk,Napoli Camminata,0:17,1076,1.75,83,91,82,117,,,Garmin Venu Sq 2
2026-01-12,08:26,Walk,Napoli Camminata,1:13,4396,7.43,95,131,385,509,25,,Garmin Venu Sq 2
2026-01-13,08:26,Walk,Napoli Camminata,1:13,4423,7.45,102,147,270,534,36,,Garmin Venu Sq 2
2026-01-14,08:36,Walk,Napoli Camminata,1:05,3900,6.64,95,139,248,446,19,,Garmin Venu Sq 2
2026-01-15,08:07,Walk,Napoli Camminata,1:14,4443,7.48,116,132,309,608,57,,Garmin Venu Sq 2
2026-01-18,08:23,Walk,Napoli Camminata,1:14,4480,7.64,104,134,307,566,11,,Garmin Venu Sq 2
2026-01-19,08:33,Workout,Cardio,0:37,2261,,111,149,,360,25,,Garmin Venu Sq 2
2026-01-20,08:36,Walk,Napoli Camminata,0:55,3306,5.73,116,141,313,485,44,,Garmin Venu Sq 2
2026-01-22,08:30,Walk,Napoli Camminata,0:52,3141,5.22,96,123,286,392,17,,Garmin Venu Sq 2
2026-01-23,11:48,Walk,Napoli Camminata,0:24,1485,2.0,99,117,360,258,9,,Garmin Venu Sq 2
2026-01-24,08:49,Workout,Cardio,0:37,2222,,100,135,,272,14,,Garmin Venu Sq 2
2026-01-25,08:52,Walk,Napoli Camminata,1:10,4239,7.21,85,106,313,461,9,,Garmin Venu Sq 2
2026-01-28,09:06,Workout,Cardio,0:39,2354,,103,150,,282,29,,Garmin Venu Sq 2
2026-01-30,08:20,GravelRide,Napoli Gravel,2:20,8445,40.19,,,377,1243,,,Garmin Edge 530
2026-01-31,08:36,Walk,Napoli Camminata,1:14,4489,7.49,110,147,424,577,14,,Garmin Venu Sq 2
2026-02-01,08:29,Walk,Napoli Camminata,1:12,4330,7.38,105,130,362,548,8,,Garmin Venu Sq 2
2026-02-02,08:03,Walk,Napoli Camminata,1:13,4383,7.51,90,128,458,502,2,,Garmin Venu Sq 2
2026-02-03,08:38,GravelRide,Napoli Gravel,1:22,4950,24.32,,,175,713,,,Garmin Edge 530
2026-02-03,10:35,GravelRide,Napoli Gravel,0:37,2235,10.58,,,214,362,,,Garmin Edge 530
2026-02-03,13:02,GravelRide,Napoli Gravel,0:42,2564,10.43,,,196,378,,,Garmin Edge 530
2026-02-04,08:28,Walk,Napoli Camminata,1:13,4427,7.59,124,150,425,606,123,,Garmin Venu Sq 2
2026-02-05,08:28,Walk,Napoli Camminata,1:12,4360,7.34,118,150,348,558,65,,Garmin Venu Sq 2
2026-02-06,08:30,Walk,Napoli Camminata,1:14,4478,7.54,104,150,297,538,12,,Garmin Venu Sq 2
2026-02-07,08:17,Walk,Napoli Camminata,1:14,4490,7.63,90,105,444,497,18,,Garmin Venu Sq 2
2026-02-08,08:22,Walk,Napoli Camminata,1:21,4868,8.11,93,119,320,855,25,,Garmin Venu Sq 2
2026-02-08,19:21,Walk,Napoli Camminata,0:35,2131,2.91,90,119,143,408,15,,Garmin Venu Sq 2
2026-02-09,08:28,Walk,Napoli Camminata,1:06,3981,6.73,114,150,284,529,54,,Garmin Venu Sq 2
2026-02-10,07:58,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:38,9505,43.75,,,387,1293,,,Garmin Edge 530
2026-02-11,08:52,Walk,Napoli Camminata,1:02,3779,6.24,109,134,372,498,43,,Garmin Venu Sq 2
2026-02-12,08:24,Walk,Napoli Camminata,1:13,4405,7.54,110,145,451,582,53,,Garmin Venu Sq 2
2026-02-13,08:04,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:35,9351,45.02,,,366,1314,,,Garmin Edge 530
2026-02-14,08:48,Walk,Napoli Camminata,0:36,2212,3.73,84,104,148,240,7,,Garmin Venu Sq 2
2026-02-15,08:48,Walk,Napoli Camminata,1:05,3901,6.52,112,150,280,473,50,,Garmin Venu Sq 2
2026-02-15,10:02,Walk,Napoli Camminata,0:06,376,0.65,116,123,14,56,5,,Garmin Venu Sq 2
2026-02-16,07:56,Walk,Napoli Camminata,1:11,4304,7.26,108,135,292,551,15,,Garmin Venu Sq 2
2026-02-18,08:08,Walk,Napoli Camminata,1:12,4350,7.61,115,131,443,620,63,,Garmin Venu Sq 2
2026-02-19,08:14,Walk,Napoli Camminata,1:11,4277,7.19,104,140,270,513,42,,Garmin Venu Sq 2
2026-02-20,08:22,Walk,Napoli Camminata,1:04,3871,6.52,110,140,264,482,37,,Garmin Venu Sq 2
2026-02-20,10:26,Walk,Napoli Camminata,0:08,515,0.92,99,125,32,65,3,,Garmin Venu Sq 2
2026-02-21,08:22,Walk,Napoli Camminata,1:13,4390,7.44,100,127,505,519,30,,Garmin Venu Sq 2
2026-02-22,08:10,Walk,Napoli Camminata,1:06,4005,6.7,106,136,281,495,41,,Garmin Venu Sq 2
2026-02-22,11:50,Walk,Bacoli Camminata,0:22,1334,1.31,102,135,80,258,21,,Garmin Venu Sq 2
2026-02-23,08:09,Walk,Napoli Camminata,1:13,4399,7.49,101,136,341,513,35,,Garmin Venu Sq 2
2026-02-23,17:52,Walk,Napoli Camminata,0:49,2948,4.27,78,108,241,360,8,,Garmin Venu Sq 2
2026-02-24,08:17,Walk,Napoli Camminata,1:15,4505,7.65,111,131,301,589,49,,Garmin Venu Sq 2
2026-02-25,07:39,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:43,9796,47.06,,,392,1397,,,Garmin Edge 530
2026-02-25,15:38,Walk,Napoli Camminata,0:38,2336,4.0,105,127,196,396,24,,Garmin Venu Sq 2
2026-02-26,08:06,Walk,Napoli Camminata,1:14,4446,7.51,119,150,273,584,74,,Garmin Venu Sq 2
2026-02-27,08:21,Walk,Napoli Camminata,1:13,4409,7.52,116,134,265,599,64,,Garmin Venu Sq 2
2026-02-28,08:35,Walk,Napoli Camminata,1:13,4414,7.49,88,104,304,478,19,,Garmin Venu Sq 2
2026-03-01,08:40,Walk,Napoli Camminata,1:05,3907,6.65,122,150,327,613,80,,Garmin Venu Sq 2
2026-03-02,08:17,Walk,Napoli Camminata,1:13,4394,7.46,117,146,250,622,68,,Garmin Venu Sq 2
2026-03-03,07:48,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:58,10702,51.18,,,492,1591,,,Garmin Edge 530
2026-03-04,08:12,Walk,Napoli Camminata,1:13,4418,7.46,99,134,298,526,35,,Garmin Venu Sq 2
2026-03-05,07:33,Walk,Napoli Camminata,0:01,102,0.13,99,110,,11,1,,Garmin Venu Sq 2
2026-03-05,07:35,Walk,Napoli Camminata,1:08,4120,7.07,112,139,284,552,55,,Garmin Venu Sq 2
2026-03-06,08:09,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:37,9445,44.65,,,375,1321,,,Garmin Edge 530
2026-03-07,08:47,Walk,Napoli Camminata,0:53,3209,5.59,120,139,202,465,53,,Garmin Venu Sq 2
2026-03-08,08:24,Walk,Napoli Camminata,1:11,4278,7.46,103,126,372,540,40,,Garmin Venu Sq 2
2026-03-09,08:07,Walk,Napoli Camminata,1:12,4327,7.42,117,149,447,629,69,,Garmin Venu Sq 2
2026-03-10,07:45,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:30,9040,44.43,,,384,1360,,,Garmin Edge 530
2026-03-11,08:04,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:34,9267,44.99,,,410,1374,,,Garmin Edge 530
2026-03-12,08:01,Walk,Napoli Camminata,1:12,4359,7.36,96,124,465,522,29,,Garmin Venu Sq 2
2026-03-13,09:36,Walk,Napoli Camminata,1:01,3685,5.91,91,120,226,437,22,,Garmin Venu Sq 2
2026-03-14,07:56,Walk,Napoli Camminata,1:09,4185,7.18,115,150,269,564,63,,Garmin Venu Sq 2
2026-03-15,08:11,Walk,Napoli Camminata,1:11,4310,7.4,97,133,320,512,31,,Garmin Venu Sq 2
2026-03-15,18:08,Walk,Napoli Camminata,1:00,3606,5.02,92,125,177,401,20,,Garmin Venu Sq 2
2026-03-16,08:16,Walk,Napoli Camminata,1:04,3870,6.64,99,150,287,461,30,,Garmin Venu Sq 2
2026-03-16,10:06,Walk,Napoli Camminata,0:08,483,0.89,111,128,35,66,6,,Garmin Venu Sq 2
2026-03-17,08:11,Walk,Napoli Camminata,1:14,4441,7.5,103,150,297,559,43,,Garmin Venu Sq 2
2026-03-18,07:30,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:27,8867,42.17,,,394,1285,,,Garmin Edge 530
2026-03-19,08:03,Walk,Napoli Camminata,1:14,4447,7.45,115,144,283,600,62,,Garmin Venu Sq 2
2026-03-20,07:55,EBikeRide,Napoli eBiking,2:44,9866,47.5,,,427,1506,,,Garmin Edge 530
2026-03-21,08:01,Walk,Napoli Camminata,1:11,4292,7.4,116,148,398,615,64,,Garmin Venu Sq 2
2026-03-22,08:00,Walk,Napoli Camminata,1:11,4281,7.41,110,132,324,575,52,,Garmin Venu Sq 2
2026-03-23,08:01,Walk,Napoli Camminata,1:13,4381,7.43,94,140,288,509,6,,Garmin Venu Sq 2
2026-03-24,08:02,EBikeRide,Napoli eBiking,2:31,9114,44.99,,,382,1410,,,Garmin Edge 530
2026-03-25,08:05,EBikeRide,Napoli eBiking,2:26,8807,45.03,,,389,1465,,,Garmin Edge 530
2026-03-26,08:07,Walk,Napoli Camminata,1:11,4293,7.35,113,139,288,594,23,,Garmin Venu Sq 2
2026-03-27,08:29,EBikeRide,Napoli eBiking,1:57,7039,33.45,,,318,1123,,,Garmin Edge 530
2026-03-29,08:15,Walk,Napoli Camminata,1:29,5395,9.06,96,126,375,610,33,,Garmin Venu Sq 2
2026-03-30,08:15,Walk,Napoli Camminata,1:12,4340,7.36,109,126,302,552,47,,Garmin Venu Sq 2
2026-03-31,08:45,Walk,Napoli Camminata,1:06,3997,6.67,108,150,262,541,46,,Garmin Venu Sq 2
2026-04-02,08:07,Walk,Napoli Camminata,1:13,4418,7.42,113,134,267,596,57,,Garmin Venu Sq 2
2026-04-03,08:17,Walk,Napoli Camminata,1:22,4955,8.28,88,102,293,522,18,,Garmin Venu Sq 2
2026-04-04,08:30,Walk,Napoli Camminata,1:14,4451,7.48,87,141,316,515,20,,Garmin Venu Sq 2
2026-04-05,08:29,Walk,Napoli Camminata,1:13,4385,7.39,118,139,298,631,65,,Garmin Venu Sq 2
2026-04-06,08:12,Walk,Napoli Camminata,1:36,5791,9.64,105,150,482,679,60,,Garmin Venu Sq 2
2026-04-07,08:27,Walk,Napoli Camminata,1:13,4413,7.43,104,148,313,520,38,,Garmin Venu Sq 2
2026-04-08,08:23,EBikeRide,Napoli eBiking,2:33,9201,47.22,,,387,1505,,,Garmin Edge 530
2026-04-09,08:34,Walk,Napoli Camminata,1:13,4417,7.47,108,148,330,543,47,,Garmin Venu Sq 2
2026-04-10,08:08,EBikeRide,Napoli eBiking,3:09,11379,57.9,,,529,1940,,,Garmin Edge 530
2026-04-11,08:13,Walk,Napoli Camminata,1:13,4423,7.48,114,129,362,607,57,,Garmin Venu Sq 2
2026-04-13,08:32,Walk,Napoli Camminata,1:12,4334,7.31,113,128,310,586,55,,Garmin Venu Sq 2
2026-04-14,08:07,Walk,Napoli Camminata,1:12,4330,7.39,110,150,326,582,52,,Garmin Venu Sq 2
2026-04-15,08:21,Walk,Napoli Camminata,1:12,4329,7.48,109,150,333,573,50,,Garmin Venu Sq 2
2026-04-16,08:22,Walk,Napoli Camminata,1:09,4187,7.14,96,133,292,485,27,,Garmin Venu Sq 2
2026-04-17,07:54,EBikeRide,Napoli eBiking,2:33,9210,47.24,,,382,1501,,,Garmin Edge 530
2026-04-18,07:34,Walk,Napoli Camminata,1:10,4255,7.41,104,132,310,524,39,,Garmin Venu Sq 2
2026-04-20,08:06,Walk,Napoli Camminata,1:12,4353,7.65,99,128,395,539,31,,Garmin Venu Sq 2
2026-04-21,07:55,EBikeRide,Napoli eBiking,2:33,9196,47.16,,,404,1527,,,Garmin Edge 530
2026-04-22,07:41,EBikeRide,Napoli eBiking,2:31,9084,45.38,,,369,1405,,,Garmin Edge 530
2026-04-23,07:57,Walk,Napoli Camminata,1:10,4235,7.45,108,132,335,534,44,,Garmin Venu Sq 2
2026-04-24,08:04,EBikeRide,Napoli eBiking,1:42,6160,30.32,,,309,1033,,,Garmin Edge 530
2026-04-25,08:17,Walk,Napoli Camminata,1:12,4321,7.43,104,131,319,535,42,,Garmin Venu Sq 2
2026-04-26,08:01,Walk,Napoli Camminata,1:14,4464,7.7,108,131,483,567,48,,Garmin Venu Sq 2
2026-04-27,08:28,Walk,Napoli Camminata,1:13,4410,7.63,113,135,285,590,57,,Garmin Venu Sq 2
2026-04-28,07:49,EBikeRide,Napoli eBiking,3:20,12047,62.83,,,578,2089,,,Garmin Edge 530
2026-04-29,08:19,Walk,Napoli Camminata,1:13,4414,7.6,113,150,448,582,58,,Garmin Venu Sq 2
2026-05-01,07:50,Walk,Napoli Camminata,1:13,4419,7.63,91,131,531,503,22,,Garmin Venu Sq 2
2026-05-02,07:57,Walk,Napoli Camminata,1:25,5115,8.67,112,147,363,694,68,,Garmin Venu Sq 2
2026-05-03,09:46,Walk,Pozzuoli Camminata,1:32,5572,6.67,99,149,210,747,34,,Garmin Venu Sq 2
2026-05-04,07:35,Walk,Napoli Camminata,1:15,4511,7.56,112,136,327,606,56,,Garmin Venu Sq 2
2026-05-05,08:11,Walk,Napoli Camminata,1:13,4425,7.65,115,150,317,606,62,,Garmin Venu Sq 2
2026-05-06,08:33,Walk,Napoli Camminata,1:13,4433,7.62,92,130,277,495,21,,Garmin Venu Sq 2
2026-05-07,08:01,GravelRide,Napoli Gravel,2:19,8380,44.58,,,344,1417,,,Garmin Edge 530
2026-05-08,08:27,Walk,Napoli Camminata,1:05,3940,6.68,102,129,409,474,32,,Garmin Venu Sq 2
2026-05-09,08:01,Walk,Napoli Camminata,1:12,4357,7.57,111,133,296,585,51,,Garmin Venu Sq 2
2026-05-10,08:23,Walk,Napoli Camminata,1:12,4353,7.55,109,140,278,551,47,,Garmin Venu Sq 2
2026-05-11,08:06,Walk,Napoli Camminata,1:11,4315,7.33,113,150,409,568,57,,Garmin Venu Sq 2
2026-05-12,07:32,EBikeRide,Napoli eBiking,2:39,9565,49.9,,,427,1091,,,Garmin Edge 530
2026-05-13,08:02,Walk,Napoli Camminata,1:06,4003,6.85,107,134,387,514,42,,Garmin Venu Sq 2
2026-05-31,08:04,Walk,Napoli Camminata,1:19,4766,7.85,102,132,286,536,33,,Garmin Venu Sq 2
2026-06-28,08:44,Walk,Napoli Camminata,1:29,5395,8.78,115,141,366,705,58,,Garmin Venu Sq 2
2026-07-19,08:54,MountainBikeRide,Napoli Mountain bike,0:46,2797,13.73,,,168,460,,,Garmin Edge 530
2026-07-27,07:58,MountainBikeRide,Napoli Mountain bike,1:05,3926,17.97,,,232,592,,,Garmin Edge 530
2026-08-10,08:05,MountainBikeRide,Napoli Mountain bike,1:10,4249,18.64,,,253,627,,,Garmin Edge 530
2026-08-11,08:56,Walk,Napoli Camminata,1:13,4398,7.51,113,139,538,549,56,,Garmin Venu Sq 2
2026-08-12,08:37,MountainBikeRide,Napoli Mountain bike,1:01,3672,16.64,,,218,549,,,Garmin Edge 530
2026-08-12,10:28,Rowing,Napoli Canottaggio,0:18,1087,1.56,131,150,,228,30,,Garmin Venu Sq 2
2026-08-12,11:22,Rowing,Napoli Canottaggio,0:22,1332,2.0,111,150,,428,8,,Garmin Venu Sq 2
2026-08-13,08:29,Walk,Napoli Camminata,1:14,4460,7.55,115,150,310,577,64,,Garmin Venu Sq 2
2026-08-14,08:19,MountainBikeRide,Napoli Mountain bike,0:59,3594,15.75,,,247,562,,,Garmin Edge 530
2026-08-14,10:17,Rowing,Napoli Canottaggio,0:54,3256,4.5,109,150,,624,37,,Garmin Venu Sq 2
2026-08-15,08:13,MountainBikeRide,Napoli Mountain bike,1:08,4095,19.08,,,262,652,,,Garmin Edge 530
2026-08-15,10:13,Rowing,Napoli Canottaggio,0:40,2425,3.33,113,150,,511,39,,Garmin Venu Sq 2
2026-08-16,08:26,MountainBikeRide,Napoli Mountain bike,1:06,3998,18.77,,,263,654,,,Garmin Edge 530
2026-08-17,11:15,Rowing,Napoli Canottaggio,1:16,4587,3.72,99,150,,635,40,,Garmin Venu Sq 2
2026-08-18,13:16,Rowing,Napoli Canottaggio,0:00,5,0.0,108,109,,1,,,Garmin Venu Sq 2
2026-08-19,07:45,MountainBikeRide,Napoli Mountain bike,1:05,3941,18.86,,,259,658,,,Garmin Edge 530
2026-08-20,08:06,MountainBikeRide,Napoli Mountain bike,1:05,3930,16.3,,,312,629,,,Garmin Edge 530
2026-08-21,08:29,MountainBikeRide,Napoli Mountain bike,1:22,4969,18.96,,,347,708,,,Garmin Edge 530
2026-08-21,12:17,Rowing,Napoli Canottaggio,0:44,2677,3.5,131,150,,731,84,,Garmin Venu Sq 2
2026-08-22,08:17,MountainBikeRide,Napoli Mountain bike,1:40,6006,23.13,,,327,746,,,Garmin Edge 530
2026-08-22,12:00,Rowing,Napoli Canottaggio,1:05,3921,3.3,118,150,,707,64,,Garmin Venu Sq 2
